# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	776
#@/user_id	9d755a8e-3460-42bb-a30f-6e77590f4ec4
jh 	早	c=1 d=1 t=606
jhyr 	申诉	c=1 d=1 t=776
jjjj 	日	c=3 d=1.9802 t=776
jm 	遇	c=1 d=1 t=369
jn 	电	c=3 d=1 t=776
jo 	显	c=1 d=1 t=776
js 	果	c=8 d=3.13911 t=776
jt 	昨	c=2 d=1.21871 t=776
jv 	归	c=1 d=1 t=776
jvko 	照	c=1 d=1 t=776
jyie 	影	c=1 d=1 t=770
k 	中	c=3 d=1.60906 t=776
kb 	啊	c=22 d=3.21857 t=776
kc 	吧	c=1 d=1 t=776
kcg 	吗	c=11 d=2.53827 t=776
kct 	唉	c=1 d=1 t=94
kgn 	号	c=4 d=1.53801 t=776
khi 	跳	c=1 d=1 t=776
khq 	跑	c=2 d=1.956 t=776
kht 	路	c=2 d=1.99501 t=92
kj 	虽	c=1 d=1 t=408
kkd 	器	c=6 d=1.25339 t=776
kkk 	品	c=1 d=1 t=776
kkkk 	口	c=3 d=1 t=776
kl 	另	c=2 d=1 t=776
klj 	别	c=8 d=4.38681 t=776
kn 	叫	c=7 d=4.19413 t=776
knx 	呢	c=9 d=5.06061 t=776
kqb 	兄	c=1 d=1 t=776
kr 	听	c=1 d=1 t=776
ksk 	呵	c=1 d=1 t=776
ksks 	呵呵	c=3 d=1.17464 t=776
kth 	咱	c=1 d=1 t=776
ktn 	吃	c=6 d=4.30591 t=776
kv 	哪	c=1 d=1 t=348
kw 	只	c=12 d=3.54076 t=776
kwy 	㕥	c=1 d=1 t=776
kwyg 	唯	c=2 d=1 t=776
l 	国	c=1 d=1 t=776
ld 	因	c=4 d=1.30513 t=776
lfhf 	置	c=1 d=1 t=351
lfn 	转	c=27 d=9.91589 t=776
lfny 	转	c=1 d=1 t=537
lfo 	黑	c=1 d=1 t=776
lft 	团	c=1 d=1 t=776
lh 	四	c=2 d=1.60103 t=776
lk 	加	c=3 d=1.05789 t=776
lkd 	回	c=10 d=3.8366 t=776
lks 	架	c=6 d=4.94287 t=744
ln 	思	c=2 d=1 t=776
lp 	边	c=4 d=1.17119 t=776
lpk 	连	c=1 d=1 t=70
lq 	罗	c=1 d=1 t=420
lqlk 	逻辑	c=1 d=1 t=776
ltu 	图	c=4 d=1.089 t=776
lw 	办	c=7 d=1.31097 t=776
lwg 	输	c=3 d=1.98932 t=776
lwx 	轮	c=1 d=1 t=776
m 	同	c=1 d=1 t=776
mb 	邮	c=8 d=5.06883 t=586
mfk 	周	c=1 d=1 t=776
mg 	同	c=4 d=3.18838 t=776
mht 	帐	c=5 d=3.95339 t=776
mm 	册	c=1 d=1 t=610
mmm 	山	c=1 d=1 t=776
mq 	风	c=1 d=1 t=776
mqj 	刚	c=3 d=2.33703 t=776
mqq 	网	c=6 d=2.3085 t=776
mqu 	岁	c=1 d=1 t=390
mt 	几	c=12 d=2.39425 t=776
mtd 	峰	c=3 d=1.05843 t=776
mty 	败	c=1 d=1 t=776
mw 	内	c=7 d=4.33393 t=776
mwpw 	内容	c=1 d=0.882497 t=776
nae 	展	c=2 d=1.02678 t=776
ndtj 	恢复	c=1 d=0.900325 t=776
nfc 	层	c=2 d=1.94649 t=776
nge 	情	c=8 d=1.23725 t=776
ngk 	司	c=12 d=5.86675 t=776
nh 	收	c=17 d=3.0928 t=776
nj 	慢	c=6 d=3.82952 t=776
nnk 	局	c=2 d=1 t=776
nnnn 	已	c=9 d=3.23787 t=776
nnw 	快	c=4 d=2.98251 t=776
nr 	怕	c=1 d=1 t=776
nty 	改	c=2 d=1 t=776
nudu 	买	c=3 d=1.20201 t=776
nw 	愉	c=1 d=1 t=103
nxx 	屁	c=1 d=1 t=776
nyu 	尽	c=1 d=1 t=776
o 	为	c=8 d=1.73879 t=776
og 	业	c=4 d=1.17587 t=776
on 	断	c=2 d=1.99501 t=776
os 	灯	c=1 d=1 t=305
ovt 	数	c=5 d=2.20443 t=776
p 	这	c=51 d=3.56692 t=776
pb 	字	c=2 d=1.94176 t=776
pe 	家	c=4 d=2.99914 t=776
pfq 	完	c=4 d=2.10254 t=776
pgh 	定	c=13 d=2.09727 t=776
ph 	寂	c=1 d=0.843665 t=776
pnt 	密	c=6 d=2.31987 t=776
pp 	之	c=9 d=3.0701 t=776
ppp 	之	c=1 d=1 t=776
pt 	客	c=2 d=1.75957 t=776
ptkm 	额	c=1 d=1 t=791
pu 	实	c=3 d=2.14836 t=776
puhc 	被	c=3 d=1.42528 t=776
puv 	初	c=2 d=1 t=776
pv 	安	c=4 d=2.3896 t=776
pvs 	案	c=3 d=2.19793 t=776
pw 	空	c=2 d=1.73039 t=776
pwd 	突	c=1 d=0.900325 t=776
pyj 	神	c=1 d=1 t=185
q 	我	c=122 d=9.63494 t=776
qaj 	错	c=4 d=1.10235 t=776
qd 	然	c=14 d=3.28948 t=776
qev 	解	c=5 d=2.19193 t=776
qg 	钱	c=17 d=5.11759 t=776
qgb 	印	c=1 d=1 t=776
qh 	外	c=4 d=1.31506 t=776
qk 	名	c=2 d=0.99005 t=776
qkhh 	钟	c=3 d=1 t=776
qn 	包	c=1 d=0.995012 t=776
qnr 	饭	c=1 d=1 t=776
qq 	多	c=11 d=2.23052 t=776
qqqq 	金	c=4 d=1.835 t=776
qv 	争	c=1 d=0.923116 t=776
qve 	银	c=15 d=5.1217 t=776
qy 	久	c=3 d=1.382 t=776
qyvl 	留	c=1 d=1 t=776
r 	的	c=98 d=7.30582 t=776
ra 	找	c=10 d=1.41867 t=776
rcf 	择	c=3 d=2.69285 t=776
rcp 	返	c=2 d=0.83527 t=776
rf 	持	c=2 d=1 t=776
rffg 	挂	c=1 d=1 t=776
rgk 	后	c=24 d=3.57327 t=776
rh 	年	c=10 d=2.33455 t=776
rhf 	看	c=19 d=9.07649 t=776
rhj 	掉	c=1 d=1 t=776
rj 	提	c=4 d=1.67473 t=776
rkk 	操	c=4 d=1.50867 t=776
rkkk 	气喘吁吁	c=1 d=1 t=624
rmhj 	制	c=5 d=2.06545 t=776
rn 	所	c=4 d=2.01071 t=776
rnd 	据	c=3 d=1.99378 t=776
rp 	近	c=3 d=1.23352 t=776
rpw 	控	c=1 d=1 t=135
rqm 	换	c=7 d=5.7698 t=776
rrg 	拍	c=1 d=1 t=310
rrr 	白	c=3 d=2.56162 t=776
rs 	打	c=6 d=4.18308 t=776
rt 	手	c=7 d=2.6263 t=776
rua 	拼	c=3 d=1.85484 t=776
rug 	拉	c=4 d=3.54401 t=776
ruuj 	拼音	c=4 d=3.44689 t=776
ruv 	接	c=6 d=1.99501 t=776
rv 	扫	c=1 d=1 t=776
rvh 	搜	c=2 d=1.99501 t=63
rvk 	招	c=1 d=1 t=776
rw 	失	c=2 d=1 t=776
rwyg 	推	c=3 d=1.8781 t=776
rym 	搞	c=11 d=1.88329 t=776
s 	要	c=22 d=3.60444 t=776
sdm 	顶	c=1 d=1 t=776
sfg 	杜	c=1 d=1 t=776
sfiu 	票	c=2 d=1.14299 t=776
sg 	本	c=14 d=6.23811 t=776
sghg 	西	c=3 d=2.53907 t=600
sgn 	配	c=9 d=4.66949 t=776
sh 	相	c=2 d=1 t=776
shn 	想	c=8 d=3.11884 t=776
siv 	档	c=1 d=1 t=776
sj 	查	c=2 d=1.55433 t=776
sk 	可	c=22 d=8.90567 t=776
sm 	机	c=13 d=2.94682 t=776
sn 	杨	c=1 d=1 t=657
su 	样	c=7 d=2.71119 t=776
sve 	根	c=4 d=1.17948 t=776
t 	和	c=4 d=1.28298 t=776
ta 	长	c=1 d=1 t=762
tah 	逄	c=1 d=1 t=776
tak 	升	c=8 d=4.61033 t=776
tc 	么	c=7 d=1.20979 t=776
tca 	径	c=1 d=1 t=93
td 	知	c=8 d=2.93074 t=776
tdk 	知	c=1 d=1 t=776
te 	秀	c=1 d=1 t=346
tf 	行	c=17 d=1.42781 t=776
tfc 	丢	c=1 d=1 t=81
tffu 	等	c=5 d=3.40764 t=776
tfj 	午	c=1 d=1 t=776
tfn 	毛	c=2 d=1 t=776
tfp 	迁	c=1 d=0.806541 t=776
tfq 	先	c=3 d=1.96561 t=776
tfqp 	选	c=4 d=3.36654 t=776
tg 	生	c=2 d=1 t=776
tgj 	重	c=4 d=2.18312 t=776
th 	处	c=1 d=1 t=776
tha 	算	c=7 d=3.67924 t=776
thd 	自	c=6 d=2.64887 t=776
thfn 	怎	c=5 d=1.99114 t=776
thg 	片	c=2 d=1 t=776
thgc 	版	c=8 d=4.20623 t=776
thn 	息	c=2 d=1.96079 t=345
tj 	得	c=13 d=4.10167 t=776
tk 	各	c=2 d=1.11824 t=776
tkh 	种	c=5 d=1.19322 t=776
tkw 	积	c=1 d=1 t=475
tl 	务	c=5 d=3.2526 t=776
tlf 	备	c=9 d=2.55158 t=776
tm 	向	c=1 d=1 t=613
tmg 	微	c=2 d=1.72615 t=776
tmh 	币	c=3 d=2.51013 t=734
tmk 	向	c=4 d=1.10127 t=776
tp 	管	c=2 d=1.99501 t=776
trf 	特	c=1 d=1 t=355
tt 	笔	c=5 d=3.63555 t=776
ttf 	笔	c=1 d=1 t=776
tu 	科	c=3 d=1.05843 t=776
tuk 	税	c=3 d=1.1862 t=776
tve 	很	c=12 d=2.68489 t=776
tx 	第	c=3 d=1.13835 t=776
txg 	每	c=5 d=1.87421 t=776
